Word,Frequency
javascript,5214
python,5197
java,4510
c#,4346
android,2829
php,2527
html,2523
c++,2462
ios,1767
.net,1741
jquery,1728
css,1655
sql,1316
node.js,1170
reactjs,1068
asp.net,1007
mysql,946
arrays,933
sql-server,807
json,806
